GEOID,City,Median_Housing_Value,Property_Taxes_Paid,Effective_Tax_Rate,De Jure Tax Rate (median),De Facto Tax Rate (median)
3502000,"Albuquerque, NM",246000,2508,1.02,1.28,0.95
0203000,"Anchorage, AK",363800,4760,1.31,1.32,1.39
4804000,"Arlington, TX",251300,4435,1.76,2.29,1.78
1304000,"Atlanta, GA",395600,3702,0.94,0.9,1.12
1703012,"Aurora, IL",241600,6051,2.5,3.11,2.34
4805000,"Austin, TX",461500,7320,1.59,1.82,1.43
0603526,"Bakersfield, CA",320600,3349,1.04,1.17,1.06
2404000,"Baltimore, MD",202900,3065,1.51,2.22,2.24
3006550,"Billings, MT",285300,2590,0.91,0.88,0.86
0107000,"Birmingham, AL",123000,864,0.7,0.67,0.76
1608830,"Boise City, ID",401800,2632,0.66,0.64,0.66
2507000,"Boston, MA",684900,4101,0.6,0.51,0.69
0908000,"Bridgeport, CT",227200,6359,2.8,2.26,2.29
3611000,"Buffalo, NY",132100,1568,1.19,1.43,0.37
5010675,"Burlington, VT",383300,7023,1.83,1.62,1.85
4513330,"Charleston, SC",438900,1990,0.45,0.49,0.46
5414600,"Charleston, WV",172800,1291,0.75,0.59,0.81
3712000,"Charlotte, NC",312800,2572,0.82,0.85,0.67
5613900,"Cheyenne, WY",283100,1672,0.59,0.65,0.57
1714000,"Chicago, IL",304500,4720,1.55,1.57,1.54
0816000,"Colorado Springs, CO",383000,1522,0.4,0.47,0.34
3918000,"Columbus, OH",212500,3041,1.43,1.66,1.33
4819000,"Dallas, TX",270700,4528,1.67,2.12,1.79
0820000,"Denver, CO",540400,2447,0.45,0.53,0.46
1921000,"Des Moines, IA",170700,3338,1.96,2.26,1.88
2622000,"Detroit, MI",66700,1363,2.04,3.27,1.67
4824000,"El Paso, TX",159300,3461,2.17,2.6,2.35
3825700,"Fargo, ND",254900,3207,1.26,1.19,1.3
4827000,"Fort Worth, TX",250300,4732,1.89,2.32,1.69
0627000,"Fresno, CA",321800,2488,0.77,1.23,0.82
4835000,"Houston, TX",235000,3763,1.6,1.69,1.38
1836003,"Indianapolis city, IN",184600,1763,0.96,1.15,0.9
1235000,"Jacksonville, FL",243000,1937,0.8,1.27,0.97
2938000,"Kansas City, MO",208900,2427,1.16,1.32,1.09
3240000,"Las Vegas, NV",365300,1909,0.52,1.13,1.13
0541000,"Little Rock, AR",205800,1797,0.87,0.31,0.82
0643000,"Long Beach, CA",709700,4606,0.65,1.12,1.12
0644000,"Los Angeles, CA",822600,5433,0.66,0.95,0.95
2148006,"Louisville, KY",204800,1788,0.87,1.18,1.18
3345140,"Manchester, NH",304700,5674,1.86,0.79,0.9
4748000,"Memphis, TN",139600,1795,1.29,1.16,1.16
0446000,"Mesa, AZ",327700,1491,0.45,0.75,0.74
1245000,"Miami, FL",433900,3870,0.89,1.33,1.1
5553000,"Milwaukee, WI",157800,3454,2.19,0.92,0.82
2743000,"Minneapolis, MN",328700,3960,1.2,1.3,0.64
4752006,"Nashville, TN",351400,2195,0.62,1.51,0.5
2255000,"New Orleans, LA",281500,2226,0.79,1.69,2.54
3651000,"New York, NY",732100,6121,0.84,1.11,1.95
3451000,"Newark, NJ",312300,7118,2.28,0.84,1.32
0653000,"Oakland, CA",883800,7353,0.83,0.39,0.77
4055000,"Oklahoma City, OK",196700,2077,1.06,1.64,1.18
3137000,"Omaha, NE",210300,3641,1.73,1.43,0.9
4260000,"Philadelphia, PA",215500,1863,0.86,2.48,1.27
0455000,"Phoenix, AZ",340200,1729,0.51,1.98,0.8
2360545,"Portland, ME",411600,5359,1.3,1.24,0.81
4159000,"Portland, OR",523100,5183,0.99,1.22,0.71
4459000,"Providence, RI",293000,4289,1.46,0.82,1.52
3755000,"Raleigh, NC",347000,2763,0.8,0.65,1.2
0664000,"Sacramento, CA",450500,3429,0.76,1.0,1.07
4967000,"Salt Lake City, UT",458600,2515,0.55,0.97,0.7
4865000,"San Antonio, TX",198000,3730,1.88,1.2,1.37
0666000,"San Diego, CA",783300,5345,0.68,0.9,1.08
0667000,"San Francisco, CA",1348700,8835,0.66,3.23,0.3
0668000,"San Jose, CA",1149600,8654,0.75,1.7,0.31
5363000,"Seattle, WA",879900,6751,0.77,1.36,0.89
4659020,"Sioux Falls, SD",250000,3034,1.21,0.96,0.81
0477000,"Tucson, AZ",218200,1709,0.78,1.23,0.74
4075000,"Tulsa, OK",174200,1905,1.09,1.07,0.65
1571550,"Urban Honolulu, HI",805500,2322,0.29,1.99,1.2
5182000,"Virginia Beach, VA",343700,2820,0.82,1.63,0.95
1150000,"Washington, DC",705000,3957,0.56,0.98,1.37
2079000,"Wichita, KS",166400,2002,1.2,0.78,1.17
1077580,"Wilmington, DE",203600,1787,0.88,1.2,0.98
